old_names,new_names
neilsen_panel_occasions_per_buying_household,neilsen_panel_occasions_per_buyer
neilsen_panel_per_2_plus_time_buying_households,neilsen_panel_per_2_plus_time_buyers
neilsen_panel_value_per_buying_household,neilsen_panel_value_per_buyer
neilsen_panel_volume_lbs_per_buying_household,neilsen_panel_pound_basis_per_buyer
neilsen_panel_volume_lbs_per_occasion,neilsen_panel_pound_basis_per_occasion
